"","basal_removed_each","num_lost_each","num_remain_tot","num_removed_tot","num_lost_tot","prop_remain","prop_removed","name_lost","degree_type","nodes_susc","nontarget_lost_each","cum_nontarget_lost","Y","prop_target_removed"
"60","Oriolus kundoo",1,49,59,62,0.441441441441441,0.531531531531532,"Oriolus kundoo","given",108,0,3,0.972222222222222,0.531531531531532
"61","Oriolus xanthornus",1,48,60,63,0.432432432432432,0.540540540540541,"Oriolus xanthornus","given",108,0,3,0.972222222222222,0.540540540540541
"62","Acridotheres ginginianus",1,47,61,64,0.423423423423423,0.54954954954955,"Acridotheres ginginianus","given",108,0,3,0.972222222222222,0.54954954954955
"63","Motacilla citreola",1,46,62,65,0.414414414414414,0.558558558558559,"Motacilla citreola","given",108,0,3,0.972222222222222,0.558558558558559
"64","Carp sp.",1,45,63,66,0.405405405405405,0.567567567567568,"Carp sp.","given",108,0,3,0.972222222222222,0.567567567567568
"65","Channa punctata",1,44,64,67,0.396396396396396,0.576576576576577,"Channa punctata","given",108,0,3,0.972222222222222,0.576576576576577
"66","Mystus vittatus",1,43,65,68,0.387387387387387,0.585585585585586,"Mystus vittatus","given",108,0,3,0.972222222222222,0.585585585585586
"67","Glossogobius giuris",1,42,66,69,0.378378378378378,0.594594594594595,"Glossogobius giuris","given",108,0,3,0.972222222222222,0.594594594594595
"68","Oreochromis niloticus",1,41,67,70,0.369369369369369,0.603603603603604,"Oreochromis niloticus","given",108,0,3,0.972222222222222,0.603603603603604
"69","Duttaphrynus melanostictus",1,40,68,71,0.36036036036036,0.612612612612613,"Duttaphrynus melanostictus","given",108,0,3,0.972222222222222,0.612612612612613
"70","Hoplobatrachus tigerinus",1,39,69,72,0.351351351351351,0.621621621621622,"Hoplobatrachus tigerinus","given",108,0,3,0.972222222222222,0.621621621621622
"71","Channa gachua",1,38,70,73,0.342342342342342,0.630630630630631,"Channa gachua","given",108,0,3,0.972222222222222,0.630630630630631
"72","Notopterus notopterus",1,37,71,74,0.333333333333333,0.63963963963964,"Notopterus notopterus","given",108,0,3,0.972222222222222,0.63963963963964
"73","Diplonychus annulatus",1,36,72,75,0.324324324324324,0.648648648648649,"Diplonychus annulatus","given",108,0,3,0.972222222222222,0.648648648648649
"74","Diplonychus rusticus",1,35,73,76,0.315315315315315,0.657657657657658,"Diplonychus rusticus","given",108,0,3,0.972222222222222,0.657657657657658
"75","Aquarius adelaides",1,34,74,77,0.306306306306306,0.666666666666667,"Aquarius adelaides","given",108,0,3,0.972222222222222,0.666666666666667
"76","Limnogonus fossarum",1,33,75,78,0.297297297297297,0.675675675675676,"Limnogonus fossarum","given",108,0,3,0.972222222222222,0.675675675675676
"77","Laccotrephes griseus",1,32,76,79,0.288288288288288,0.684684684684685,"Laccotrephes griseus","given",108,0,3,0.972222222222222,0.684684684684685
"78","Laccotrephes ruber",1,31,77,80,0.279279279279279,0.693693693693694,"Laccotrephes ruber","given",108,0,3,0.972222222222222,0.693693693693694
"79","Ranatra elongata",1,30,78,81,0.27027027027027,0.702702702702703,"Ranatra elongata","given",108,0,3,0.972222222222222,0.702702702702703
"80","Ranatra filiformis",1,29,79,82,0.261261261261261,0.711711711711712,"Ranatra filiformis","given",108,0,3,0.972222222222222,0.711711711711712
"81","Ranatra varipes",6,23,80,88,0.207207207207207,0.720720720720721,"Ranatra varipes;Euphlyctis cyanophlyctis;Hylarana tytleri;Polypedates maculatus;Himantopus himantopus;Hirundo rustica","given",108,5,8,0.925925925925926,0.720720720720721
"82","Big fish juveniles",1,22,81,89,0.198198198198198,0.72972972972973,"Big fish juveniles","given",108,0,8,0.925925925925926,0.72972972972973
"83","Puntius vittatus",1,21,82,90,0.189189189189189,0.738738738738739,"Puntius vittatus","given",108,0,8,0.925925925925926,0.738738738738739
"84","Rasbora daniconius",1,20,83,91,0.18018018018018,0.747747747747748,"Rasbora daniconius","given",108,0,8,0.925925925925926,0.747747747747748
"85","Pethia phutunio",3,17,84,94,0.153153153153153,0.756756756756757,"Pethia phutunio;Ardea intermedia;Bubulcus ibis","given",108,2,10,0.907407407407407,0.756756756756757
"86","Herbaceous aquatic plants",3,14,85,97,0.126126126126126,0.765765765765766,"Herbaceous aquatic plants;Dendrocygna javanica;Metopidius indicus","given",108,2,12,0.888888888888889,0.765765765765766
"87","Tadploes",5,9,86,102,0.0810810810810811,0.774774774774775,"Tadploes;Odonata sp.;Anastomus oscitans;Halcyon smyrnensis;Merops orientalis","given",108,4,16,0.851851851851852,0.774774774774775
"88","Macrobrachium malcolmsonii",1,8,87,103,0.0720720720720721,0.783783783783784,"Macrobrachium malcolmsonii","given",108,0,16,0.851851851851852,0.783783783783784
"89","Macrobrachium rosenbergii",1,7,88,104,0.0630630630630631,0.792792792792793,"Macrobrachium rosenbergii","given",108,0,16,0.851851851851852,0.792792792792793
"90","Macrobrachium equidens",4,3,89,108,0.027027027027027,0.801801801801802,"Macrobrachium equidens;Microcarbo niger;Egretta garzetta;Ardeola grayii","given",108,3,19,0.824074074074074,0.801801801801802
"91","Detritus",1,2,90,109,0.018018018018018,0.810810810810811,"Detritus","given",108,0,19,0.824074074074074,0.810810810810811
"92","Mosquito larvae",2,0,91,111,0,0.81981981981982,"Mosquito larvae;Green Algae","given",108,1,20,0.814814814814815,0.81981981981982
