web,motif,species,count
Premonsoon,S1,Notopterus notopterus,192
Premonsoon,S1,Nycticorax nycticorax,113
Premonsoon,S1,Odonata sp.,112
Premonsoon,S1,Oreochromis niloticus,188
Premonsoon,S1,Oriolus kundoo,14
Premonsoon,S1,Oriolus xanthornus,14
Premonsoon,S1,Parambassis baculis,120
Premonsoon,S1,Pethia phutunio,555
Premonsoon,S1,Polypedates maculatus,113
Premonsoon,S1,Porphyrio poliocephalus,20
Premonsoon,S1,Prionailurus viverrinus,301
Premonsoon,S1,Puntius vittatus,187
Premonsoon,S1,Ranatra elongata,206
Premonsoon,S1,Ranatra filiformis,251
Premonsoon,S1,Ranatra varipes,263
Premonsoon,S1,Rasbora daniconius,284
Premonsoon,S1,Scapholeberis kingi,242
Premonsoon,S1,Spilornis cheela,54
Premonsoon,S1,Tachybaptus ruficollis,121
Premonsoon,S1,Trichogaster fasciata,560
Premonsoon,S1,Trichogaster lalius,551
Premonsoon,S1,Uperodon systoma,139
Premonsoon,S1,Vanellus indicus,20
Premonsoon,S1,Varanus bengalensis,121
Premonsoon,S1,Xenentodon cancila,94
Premonsoon,S1,Acridotheres ginginianus,112
Premonsoon,S1,Alcedo atthis,111
Premonsoon,S1,Alona pulchella,216
Premonsoon,S1,Amaurornis phoenicurus,109
Premonsoon,S1,Anas poecilorhyncha,20
Premonsoon,S1,Anastomus oscitans,209
Premonsoon,S1,Anisops campbelli,439
Premonsoon,S1,Aplocheilus panchax,97
Premonsoon,S1,Aquarius adelaides,223
Premonsoon,S1,Arcella discoides,216
Premonsoon,S1,Ardea alba,113
Premonsoon,S1,Ardea intermedia,113
Premonsoon,S1,Ardea purpurea,111
Premonsoon,S1,Ardeola grayii,123
Premonsoon,S1,Asplanchna brightwelli,216
Premonsoon,S1,Badis badis,555
Premonsoon,S1,Big fish juveniles,604
Premonsoon,S1,Brachionus calyciflorus,284
Premonsoon,S1,Brachionus forficula,284
Premonsoon,S1,Bubulcus ibis,111
Premonsoon,S1,Bungarus fasciatus,267
Premonsoon,S1,Carp sp.,0
Premonsoon,S1,Centropus bengalensis,22
Premonsoon,S1,Centropyxis aculeata,216
Premonsoon,S1,Ceryle rudis,111
Premonsoon,S1,Channa gachua,237
Premonsoon,S1,Channa punctata,291
Premonsoon,S1,Channa striata,291
Premonsoon,S1,Coracias benghalensis,146
Premonsoon,S1,Coronatella rectangula,216
Premonsoon,S1,Dendrocygna javanica,393
Premonsoon,S1,Detritus,190
Premonsoon,S1,Diplonychus annulatus,249
Premonsoon,S1,Diplonychus rusticus,229
Premonsoon,S1,Duttaphrynus melanostictus,108
Premonsoon,S1,Duttaphrynus scaber,110
Premonsoon,S1,Egretta garzetta,123
Premonsoon,S1,Enhydris enhydris,290
Premonsoon,S1,Euphlyctis cyanophlyctis,112
Premonsoon,S1,Fejervarya orissaensis,145
Premonsoon,S1,Felis chaus,224
Premonsoon,S1,Fowlea piscator,247
Premonsoon,S1,Gallinula chloropus,22
Premonsoon,S1,Glossogobius giuris,205
Premonsoon,S1,Green Algae,282
Premonsoon,S1,Halcyon smyrnensis,111
Premonsoon,S1,Haliaeetus leucogaster,429
Premonsoon,S1,Herbaceous aquatic plants,77
Premonsoon,S1,Heteropneustes fossilis,162
Premonsoon,S1,Himantopus himantopus,20
Premonsoon,S1,Hirundo rustica,20
Premonsoon,S1,Hoplobatrachus crassus,127
Premonsoon,S1,Hoplobatrachus tigerinus,130
Premonsoon,S1,Hydrophasianus chirurgus,20
Premonsoon,S1,Hydrovatus confertus,238
Premonsoon,S1,Keratella lenzi,284
Premonsoon,S1,Laccotrephes griseus,223
Premonsoon,S1,Laccotrephes ruber,223
Premonsoon,S1,Lecane aculeata,284
Premonsoon,S1,Lecane bulla,284
Premonsoon,S1,Limnogonus fossarum,223
Premonsoon,S1,Lissemys punctata,155
Premonsoon,S1,Macrobrachium equidens,175
Premonsoon,S1,Macrobrachium malcolmsonii,156
Premonsoon,S1,Macrobrachium rosenbergii,156
Premonsoon,S1,Macrobrachium rude,301
Premonsoon,S1,Macrognathus pancalus,190
Premonsoon,S1,Macrothrix goeldi,216
Premonsoon,S1,Macrothrix spinosa,216
Premonsoon,S1,Mastacembelus armatus,179
Premonsoon,S1,Merops orientalis,14
Premonsoon,S1,Mesocyclops leukarti,242
Premonsoon,S1,Metopidius indicus,20
Premonsoon,S1,Microcarbo niger,298
Premonsoon,S1,Minervarya agricola,148
Premonsoon,S1,Minervarya pierrei,139
Premonsoon,S1,Mosquito larvae,508
Premonsoon,S1,Motacilla citreola,20
Premonsoon,S1,Mycteria leucocephala,252
Premonsoon,S1,Mystus tengara,126
Premonsoon,S1,Mystus vittatus,118
Premonsoon,S1,Naja naja,120
Premonsoon,S1,Nettapus coromandelianus,42
Premonsoon,S1,Netuma thalassina,392
Premonsoon,S1,Notopterus notopterus,192
Premonsoon,S1,Nycticorax nycticorax,113
Premonsoon,S1,Odonata sp.,112
Premonsoon,S1,Oreochromis niloticus,188
Premonsoon,S1,Oriolus kundoo,14
Premonsoon,S1,Oriolus xanthornus,14
Premonsoon,S1,Parambassis baculis,120
Premonsoon,S1,Pethia phutunio,555
Premonsoon,S1,Polypedates maculatus,113
Premonsoon,S1,Porphyrio poliocephalus,20
Premonsoon,S1,Prionailurus viverrinus,301
Premonsoon,S1,Puntius vittatus,187
Premonsoon,S1,Ranatra elongata,206
Premonsoon,S1,Ranatra filiformis,251
Premonsoon,S1,Ranatra varipes,263
Premonsoon,S1,Rasbora daniconius,284
Premonsoon,S1,Scapholeberis kingi,242
Premonsoon,S1,Spilornis cheela,54
Premonsoon,S1,Tachybaptus ruficollis,121
Premonsoon,S1,Trichogaster fasciata,560
Premonsoon,S1,Trichogaster lalius,551
Premonsoon,S1,Uperodon systoma,139
Premonsoon,S1,Vanellus indicus,20
Premonsoon,S1,Varanus bengalensis,121
Premonsoon,S1,Xenentodon cancila,94
Premonsoon,S2,Acridotheres ginginianus,13
Premonsoon,S2,Alcedo atthis,149
Premonsoon,S2,Alona pulchella,20
Premonsoon,S2,Amaurornis phoenicurus,96
Premonsoon,S2,Anas poecilorhyncha,31
Premonsoon,S2,Anastomus oscitans,0
Premonsoon,S2,Anisops campbelli,633
Premonsoon,S2,Aplocheilus panchax,225
Premonsoon,S2,Aquarius adelaides,610
Premonsoon,S2,Arcella discoides,20
Premonsoon,S2,Ardea alba,217
Premonsoon,S2,Ardea intermedia,217
Premonsoon,S2,Ardea purpurea,247
Premonsoon,S2,Ardeola grayii,251
Premonsoon,S2,Asplanchna brightwelli,20
Premonsoon,S2,Badis badis,341
Premonsoon,S2,Big fish juveniles,180
Premonsoon,S2,Brachionus calyciflorus,31
Premonsoon,S2,Brachionus forficula,31
Premonsoon,S2,Bubulcus ibis,94
Premonsoon,S2,Bungarus fasciatus,41
Premonsoon,S2,Carp sp.,14
Premonsoon,S2,Centropus bengalensis,154
Premonsoon,S2,Centropyxis aculeata,20
Premonsoon,S2,Ceryle rudis,149
Premonsoon,S2,Channa gachua,410
Premonsoon,S2,Channa punctata,395
Premonsoon,S2,Channa striata,395
Premonsoon,S2,Coracias benghalensis,35
Premonsoon,S2,Coronatella rectangula,20
Premonsoon,S2,Dendrocygna javanica,110
Premonsoon,S2,Detritus,47
Premonsoon,S2,Diplonychus annulatus,711
Premonsoon,S2,Diplonychus rusticus,683
Premonsoon,S2,Duttaphrynus melanostictus,194
Premonsoon,S2,Duttaphrynus scaber,181
Premonsoon,S2,Egretta garzetta,251
Premonsoon,S2,Enhydris enhydris,57
Premonsoon,S2,Euphlyctis cyanophlyctis,226
Premonsoon,S2,Fejervarya orissaensis,266
Premonsoon,S2,Felis chaus,14
Premonsoon,S2,Fowlea piscator,49
Premonsoon,S2,Gallinula chloropus,154
Premonsoon,S2,Glossogobius giuris,266
Premonsoon,S2,Green Algae,121
Premonsoon,S2,Halcyon smyrnensis,149
Premonsoon,S2,Haliaeetus leucogaster,130
Premonsoon,S2,Herbaceous aquatic plants,33
Premonsoon,S2,Heteropneustes fossilis,50
Premonsoon,S2,Himantopus himantopus,31
Premonsoon,S2,Hirundo rustica,31
Premonsoon,S2,Hoplobatrachus crassus,315
Premonsoon,S2,Hoplobatrachus tigerinus,428
Premonsoon,S2,Hydrophasianus chirurgus,31
Premonsoon,S2,Hydrovatus confertus,592
Premonsoon,S2,Keratella lenzi,31
Premonsoon,S2,Laccotrephes griseus,610
Premonsoon,S2,Laccotrephes ruber,610
Premonsoon,S2,Lecane aculeata,31
Premonsoon,S2,Lecane bulla,31
Premonsoon,S2,Limnogonus fossarum,610
Premonsoon,S2,Lissemys punctata,260
Premonsoon,S2,Macrobrachium equidens,83
Premonsoon,S2,Macrobrachium malcolmsonii,247
Premonsoon,S2,Macrobrachium rosenbergii,247
Premonsoon,S2,Macrobrachium rude,110
Premonsoon,S2,Macrognathus pancalus,288
Premonsoon,S2,Macrothrix goeldi,20
Premonsoon,S2,Macrothrix spinosa,20
Premonsoon,S2,Mastacembelus armatus,252
Premonsoon,S2,Merops orientalis,0
Premonsoon,S2,Mesocyclops leukarti,24
Premonsoon,S2,Metopidius indicus,31
Premonsoon,S2,Microcarbo niger,25
Premonsoon,S2,Minervarya agricola,222
Premonsoon,S2,Minervarya pierrei,250
Premonsoon,S2,Mosquito larvae,40
Premonsoon,S2,Motacilla citreola,31
Premonsoon,S2,Mycteria leucocephala,427
Premonsoon,S2,Mystus tengara,14
Premonsoon,S2,Mystus vittatus,30
Premonsoon,S2,Naja naja,12
Premonsoon,S2,Nettapus coromandelianus,53
Premonsoon,S2,Netuma thalassina,150
Premonsoon,S2,Notopterus notopterus,342
Premonsoon,S2,Nycticorax nycticorax,217
Premonsoon,S2,Odonata sp.,2
Premonsoon,S2,Oreochromis niloticus,115
Premonsoon,S2,Oriolus kundoo,0
Premonsoon,S2,Oriolus xanthornus,0
Premonsoon,S2,Parambassis baculis,217
Premonsoon,S2,Pethia phutunio,341
Premonsoon,S2,Polypedates maculatus,216
Premonsoon,S2,Porphyrio poliocephalus,31
Premonsoon,S2,Prionailurus viverrinus,262
Premonsoon,S2,Puntius vittatus,289
Premonsoon,S2,Ranatra elongata,525
Premonsoon,S2,Ranatra filiformis,529
Premonsoon,S2,Ranatra varipes,612
Premonsoon,S2,Rasbora daniconius,259
Premonsoon,S2,Scapholeberis kingi,24
Premonsoon,S2,Spilornis cheela,2
Premonsoon,S2,Tachybaptus ruficollis,128
Premonsoon,S2,Trichogaster fasciata,336
Premonsoon,S2,Trichogaster lalius,167
Premonsoon,S2,Uperodon systoma,250
Premonsoon,S2,Vanellus indicus,31
Premonsoon,S2,Varanus bengalensis,18
Premonsoon,S2,Xenentodon cancila,120
Premonsoon,S1,Acridotheres ginginianus,112
Premonsoon,S1,Alcedo atthis,111
Premonsoon,S1,Alona pulchella,216
Premonsoon,S1,Amaurornis phoenicurus,109
Premonsoon,S1,Anas poecilorhyncha,20
Premonsoon,S1,Anastomus oscitans,209
Premonsoon,S1,Anisops campbelli,439
Premonsoon,S1,Aplocheilus panchax,97
Premonsoon,S1,Aquarius adelaides,223
Premonsoon,S1,Arcella discoides,216
Premonsoon,S1,Ardea alba,113
Premonsoon,S1,Ardea intermedia,113
Premonsoon,S1,Ardea purpurea,111
Premonsoon,S1,Ardeola grayii,123
Premonsoon,S1,Asplanchna brightwelli,216
Premonsoon,S1,Badis badis,555
Premonsoon,S1,Big fish juveniles,604
Premonsoon,S1,Brachionus calyciflorus,284
Premonsoon,S1,Brachionus forficula,284
Premonsoon,S1,Bubulcus ibis,111
Premonsoon,S1,Bungarus fasciatus,267
Premonsoon,S1,Carp sp.,0
Premonsoon,S1,Centropus bengalensis,22
Premonsoon,S1,Centropyxis aculeata,216
Premonsoon,S1,Ceryle rudis,111
Premonsoon,S1,Channa gachua,237
Premonsoon,S1,Channa punctata,291
Premonsoon,S1,Channa striata,291
Premonsoon,S1,Coracias benghalensis,146
Premonsoon,S1,Coronatella rectangula,216
Premonsoon,S1,Dendrocygna javanica,393
Premonsoon,S1,Detritus,190
Premonsoon,S1,Diplonychus annulatus,249
Premonsoon,S1,Diplonychus rusticus,229
Premonsoon,S1,Duttaphrynus melanostictus,108
Premonsoon,S1,Duttaphrynus scaber,110
Premonsoon,S1,Egretta garzetta,123
Premonsoon,S1,Enhydris enhydris,290
Premonsoon,S1,Euphlyctis cyanophlyctis,112
Premonsoon,S1,Fejervarya orissaensis,145
Premonsoon,S1,Felis chaus,224
Premonsoon,S1,Fowlea piscator,247
Premonsoon,S1,Gallinula chloropus,22
Premonsoon,S1,Glossogobius giuris,205
Premonsoon,S1,Green Algae,282
Premonsoon,S1,Halcyon smyrnensis,111
Premonsoon,S1,Haliaeetus leucogaster,429
Premonsoon,S1,Herbaceous aquatic plants,77
Premonsoon,S1,Heteropneustes fossilis,162
Premonsoon,S1,Himantopus himantopus,20
Premonsoon,S1,Hirundo rustica,20
Premonsoon,S1,Hoplobatrachus crassus,127
Premonsoon,S1,Hoplobatrachus tigerinus,130
Premonsoon,S1,Hydrophasianus chirurgus,20
Premonsoon,S1,Hydrovatus confertus,238
Premonsoon,S1,Keratella lenzi,284
Premonsoon,S1,Laccotrephes griseus,223
Premonsoon,S1,Laccotrephes ruber,223
Premonsoon,S1,Lecane aculeata,284
Premonsoon,S1,Lecane bulla,284
Premonsoon,S1,Limnogonus fossarum,223
Premonsoon,S1,Lissemys punctata,155
Premonsoon,S1,Macrobrachium equidens,175
Premonsoon,S1,Macrobrachium malcolmsonii,156
Premonsoon,S1,Macrobrachium rosenbergii,156
Premonsoon,S1,Macrobrachium rude,301
Premonsoon,S1,Macrognathus pancalus,190
Premonsoon,S1,Macrothrix goeldi,216
Premonsoon,S1,Macrothrix spinosa,216
Premonsoon,S1,Mastacembelus armatus,179
Premonsoon,S1,Merops orientalis,14
Premonsoon,S1,Mesocyclops leukarti,242
Premonsoon,S1,Metopidius indicus,20
Premonsoon,S1,Microcarbo niger,298
Premonsoon,S1,Minervarya agricola,148
Premonsoon,S1,Minervarya pierrei,139
Premonsoon,S1,Mosquito larvae,508
Premonsoon,S1,Motacilla citreola,20
Premonsoon,S1,Mycteria leucocephala,252
Premonsoon,S1,Mystus tengara,126
Premonsoon,S1,Mystus vittatus,118
Premonsoon,S1,Naja naja,120
Premonsoon,S1,Nettapus coromandelianus,42
Premonsoon,S1,Netuma thalassina,392
Premonsoon,S1,Notopterus notopterus,192
Premonsoon,S1,Nycticorax nycticorax,113
Premonsoon,S1,Odonata sp.,112
Premonsoon,S1,Oreochromis niloticus,188
Premonsoon,S1,Oriolus kundoo,14
Premonsoon,S1,Oriolus xanthornus,14
Premonsoon,S1,Parambassis baculis,120
Premonsoon,S1,Pethia phutunio,555
Premonsoon,S1,Polypedates maculatus,113
Premonsoon,S1,Porphyrio poliocephalus,20
Premonsoon,S1,Prionailurus viverrinus,301
Premonsoon,S1,Puntius vittatus,187
Premonsoon,S1,Ranatra elongata,206
Premonsoon,S1,Ranatra filiformis,251
Premonsoon,S1,Ranatra varipes,263
Premonsoon,S1,Rasbora daniconius,284
Premonsoon,S1,Scapholeberis kingi,242
Premonsoon,S1,Spilornis cheela,54
Premonsoon,S1,Tachybaptus ruficollis,121
Premonsoon,S1,Trichogaster fasciata,560
Premonsoon,S1,Trichogaster lalius,551
Premonsoon,S1,Uperodon systoma,139
Premonsoon,S1,Vanellus indicus,20
Premonsoon,S1,Varanus bengalensis,121
Premonsoon,S1,Xenentodon cancila,94
Premonsoon,S2,Acridotheres ginginianus,13
Premonsoon,S2,Alcedo atthis,149
Premonsoon,S2,Alona pulchella,20
Premonsoon,S2,Amaurornis phoenicurus,96
Premonsoon,S2,Anas poecilorhyncha,31
Premonsoon,S2,Anastomus oscitans,0
Premonsoon,S2,Anisops campbelli,633
Premonsoon,S2,Aplocheilus panchax,225
Premonsoon,S2,Aquarius adelaides,610
Premonsoon,S2,Arcella discoides,20
Premonsoon,S2,Ardea alba,217
Premonsoon,S2,Ardea intermedia,217
Premonsoon,S2,Ardea purpurea,247
Premonsoon,S2,Ardeola grayii,251
Premonsoon,S2,Asplanchna brightwelli,20
Premonsoon,S2,Badis badis,341
Premonsoon,S2,Big fish juveniles,180
Premonsoon,S2,Brachionus calyciflorus,31
Premonsoon,S2,Brachionus forficula,31
Premonsoon,S2,Bubulcus ibis,94
Premonsoon,S2,Bungarus fasciatus,41
Premonsoon,S2,Carp sp.,14
Premonsoon,S2,Centropus bengalensis,154
Premonsoon,S2,Centropyxis aculeata,20
Premonsoon,S2,Ceryle rudis,149
Premonsoon,S2,Channa gachua,410
Premonsoon,S2,Channa punctata,395
Premonsoon,S2,Channa striata,395
Premonsoon,S2,Coracias benghalensis,35
Premonsoon,S2,Coronatella rectangula,20
Premonsoon,S2,Dendrocygna javanica,110
Premonsoon,S2,Detritus,47
Premonsoon,S2,Diplonychus annulatus,711
Premonsoon,S2,Diplonychus rusticus,683
Premonsoon,S2,Duttaphrynus melanostictus,194
Premonsoon,S2,Duttaphrynus scaber,181
Premonsoon,S2,Egretta garzetta,251
Premonsoon,S2,Enhydris enhydris,57
Premonsoon,S2,Euphlyctis cyanophlyctis,226
Premonsoon,S2,Fejervarya orissaensis,266
Premonsoon,S2,Felis chaus,14
Premonsoon,S2,Fowlea piscator,49
Premonsoon,S2,Gallinula chloropus,154
Premonsoon,S2,Glossogobius giuris,266
Premonsoon,S2,Green Algae,121
Premonsoon,S2,Halcyon smyrnensis,149
Premonsoon,S2,Haliaeetus leucogaster,130
Premonsoon,S2,Herbaceous aquatic plants,33
Premonsoon,S2,Heteropneustes fossilis,50
Premonsoon,S2,Himantopus himantopus,31
Premonsoon,S2,Hirundo rustica,31
Premonsoon,S2,Hoplobatrachus crassus,315
Premonsoon,S2,Hoplobatrachus tigerinus,428
Premonsoon,S2,Hydrophasianus chirurgus,31
Premonsoon,S2,Hydrovatus confertus,592
Premonsoon,S2,Keratella lenzi,31
Premonsoon,S2,Laccotrephes griseus,610
Premonsoon,S2,Laccotrephes ruber,610
Premonsoon,S2,Lecane aculeata,31
Premonsoon,S2,Lecane bulla,31
Premonsoon,S2,Limnogonus fossarum,610
Premonsoon,S2,Lissemys punctata,260
Premonsoon,S2,Macrobrachium equidens,83
Premonsoon,S2,Macrobrachium malcolmsonii,247
Premonsoon,S2,Macrobrachium rosenbergii,247
Premonsoon,S2,Macrobrachium rude,110
Premonsoon,S2,Macrognathus pancalus,288
Premonsoon,S2,Macrothrix goeldi,20
Premonsoon,S2,Macrothrix spinosa,20
Premonsoon,S2,Mastacembelus armatus,252
Premonsoon,S2,Merops orientalis,0
Premonsoon,S2,Mesocyclops leukarti,24
Premonsoon,S2,Metopidius indicus,31
Premonsoon,S2,Microcarbo niger,25
Premonsoon,S2,Minervarya agricola,222
Premonsoon,S2,Minervarya pierrei,250
Premonsoon,S2,Mosquito larvae,40
Premonsoon,S2,Motacilla citreola,31
Premonsoon,S2,Mycteria leucocephala,427
Premonsoon,S2,Mystus tengara,14
Premonsoon,S2,Mystus vittatus,30
Premonsoon,S2,Naja naja,12
Premonsoon,S2,Nettapus coromandelianus,53
Premonsoon,S2,Netuma thalassina,150
Premonsoon,S2,Notopterus notopterus,342
Premonsoon,S2,Nycticorax nycticorax,217
Premonsoon,S2,Odonata sp.,2
Premonsoon,S2,Oreochromis niloticus,115
Premonsoon,S2,Oriolus kundoo,0
Premonsoon,S2,Oriolus xanthornus,0
Premonsoon,S2,Parambassis baculis,217
Premonsoon,S2,Pethia phutunio,341
Premonsoon,S2,Polypedates maculatus,216
Premonsoon,S2,Porphyrio poliocephalus,31
Premonsoon,S2,Prionailurus viverrinus,262
Premonsoon,S2,Puntius vittatus,289
Premonsoon,S2,Ranatra elongata,525
Premonsoon,S2,Ranatra filiformis,529
Premonsoon,S2,Ranatra varipes,612
Premonsoon,S2,Rasbora daniconius,259
Premonsoon,S2,Scapholeberis kingi,24
Premonsoon,S2,Spilornis cheela,2
Premonsoon,S2,Tachybaptus ruficollis,128
Premonsoon,S2,Trichogaster fasciata,336
Premonsoon,S2,Trichogaster lalius,167
Premonsoon,S2,Uperodon systoma,250
Premonsoon,S2,Vanellus indicus,31
Premonsoon,S2,Varanus bengalensis,18
Premonsoon,S2,Xenentodon cancila,120
Premonsoon,S1,Acridotheres ginginianus,112
Premonsoon,S1,Alcedo atthis,111
Premonsoon,S1,Alona pulchella,216
Premonsoon,S1,Amaurornis phoenicurus,109
Premonsoon,S1,Anas poecilorhyncha,20
Premonsoon,S1,Anastomus oscitans,209
Premonsoon,S1,Anisops campbelli,439
Premonsoon,S1,Aplocheilus panchax,97
Premonsoon,S1,Aquarius adelaides,223
Premonsoon,S1,Arcella discoides,216
Premonsoon,S1,Ardea alba,113
Premonsoon,S1,Ardea intermedia,113
Premonsoon,S1,Ardea purpurea,111
Premonsoon,S1,Ardeola grayii,123
Premonsoon,S1,Asplanchna brightwelli,216
Premonsoon,S1,Badis badis,555
Premonsoon,S1,Big fish juveniles,604
Premonsoon,S1,Brachionus calyciflorus,284
Premonsoon,S1,Brachionus forficula,284
Premonsoon,S1,Bubulcus ibis,111
Premonsoon,S1,Bungarus fasciatus,267
Premonsoon,S1,Carp sp.,0
Premonsoon,S1,Centropus bengalensis,22
Premonsoon,S1,Centropyxis aculeata,216
Premonsoon,S1,Ceryle rudis,111
Premonsoon,S1,Channa gachua,237
Premonsoon,S1,Channa punctata,291
Premonsoon,S1,Channa striata,291
Premonsoon,S1,Coracias benghalensis,146
Premonsoon,S1,Coronatella rectangula,216
Premonsoon,S1,Dendrocygna javanica,393
Premonsoon,S1,Detritus,190
Premonsoon,S1,Diplonychus annulatus,249
Premonsoon,S1,Diplonychus rusticus,229
Premonsoon,S1,Duttaphrynus melanostictus,108
Premonsoon,S1,Duttaphrynus scaber,110
Premonsoon,S1,Egretta garzetta,123
Premonsoon,S1,Enhydris enhydris,290
Premonsoon,S1,Euphlyctis cyanophlyctis,112
Premonsoon,S1,Fejervarya orissaensis,145
Premonsoon,S1,Felis chaus,224
Premonsoon,S1,Fowlea piscator,247
Premonsoon,S1,Gallinula chloropus,22
Premonsoon,S1,Glossogobius giuris,205
Premonsoon,S1,Green Algae,282
Premonsoon,S1,Halcyon smyrnensis,111
Premonsoon,S1,Haliaeetus leucogaster,429
Premonsoon,S1,Herbaceous aquatic plants,77
Premonsoon,S1,Heteropneustes fossilis,162
Premonsoon,S1,Himantopus himantopus,20
Premonsoon,S1,Hirundo rustica,20
Premonsoon,S1,Hoplobatrachus crassus,127
Premonsoon,S1,Hoplobatrachus tigerinus,130
Premonsoon,S1,Hydrophasianus chirurgus,20
Premonsoon,S1,Hydrovatus confertus,238
Premonsoon,S1,Keratella lenzi,284
Premonsoon,S1,Laccotrephes griseus,223
Premonsoon,S1,Laccotrephes ruber,223
Premonsoon,S1,Lecane aculeata,284
Premonsoon,S1,Lecane bulla,284
Premonsoon,S1,Limnogonus fossarum,223
Premonsoon,S1,Lissemys punctata,155
Premonsoon,S1,Macrobrachium equidens,175
Premonsoon,S1,Macrobrachium malcolmsonii,156
Premonsoon,S1,Macrobrachium rosenbergii,156
Premonsoon,S1,Macrobrachium rude,301
Premonsoon,S1,Macrognathus pancalus,190
Premonsoon,S1,Macrothrix goeldi,216
Premonsoon,S1,Macrothrix spinosa,216
Premonsoon,S1,Mastacembelus armatus,179
Premonsoon,S1,Merops orientalis,14
Premonsoon,S1,Mesocyclops leukarti,242
Premonsoon,S1,Metopidius indicus,20
Premonsoon,S1,Microcarbo niger,298
Premonsoon,S1,Minervarya agricola,148
Premonsoon,S1,Minervarya pierrei,139
Premonsoon,S1,Mosquito larvae,508
Premonsoon,S1,Motacilla citreola,20
Premonsoon,S1,Mycteria leucocephala,252
Premonsoon,S1,Mystus tengara,126
Premonsoon,S1,Mystus vittatus,118
Premonsoon,S1,Naja naja,120
Premonsoon,S1,Nettapus coromandelianus,42
Premonsoon,S1,Netuma thalassina,392
Premonsoon,S1,Notopterus notopterus,192
Premonsoon,S1,Nycticorax nycticorax,113
Premonsoon,S1,Odonata sp.,112
